Date,Year,Month_Num,Month_Name,Channel_Name,Channel_Type,Spend_M,Adstock,Saturated,Coeff_Mean,CI_Lower,CI_Upper,Contrib_Pct,Current_Spend_M,Optimal_Spend_M,Change_M,Change_Pct,Recommendation
2015-07-01,2015,7,July,TV,Traditional,2.0,2000000.0,0.0476190476190476,64.9,4.9,160.7,11.2,444.0,1134.0,690.0,155.4,Maintain
2015-08-01,2015,8,August,TV,Traditional,0.0,900000.0,0.0220048899755501,64.9,4.9,160.7,11.2,444.0,1134.0,690.0,155.4,Maintain
2015-09-01,2015,9,September,TV,Traditional,39.0,39405000.0,0.4962533845475725,64.9,4.9,160.7,11.2,444.0,1134.0,690.0,155.4,Maintain
2015-10-01,2015,10,October,TV,Traditional,61.0,78732250.0,0.663107538179391,64.9,4.9,160.7,11.2,444.0,1134.0,690.0,155.4,Maintain
2015-11-01,2015,11,November,TV,Traditional,42.0,77429512.5,0.6593701263981658,64.9,4.9,160.7,11.2,444.0,1134.0,690.0,155.4,Maintain
2015-12-01,2015,12,December,TV,Traditional,54.0,88843280.625,0.6895453157823533,64.9,4.9,160.7,11.2,444.0,1134.0,690.0,155.4,Maintain
2016-01-01,2016,1,January,TV,Traditional,44.0,83979476.28125,0.6773659544321742,64.9,4.9,160.7,11.2,444.0,1134.0,690.0,155.4,Maintain
2016-02-01,2016,2,February,TV,Traditional,26.0,63790764.3265625,0.6146092548837406,64.9,4.9,160.7,11.2,444.0,1134.0,690.0,155.4,Maintain
2016-03-01,2016,3,March,TV,Traditional,93.0,121705843.94695312,0.7526372639128501,64.9,4.9,160.7,11.2,444.0,1134.0,690.0,155.4,Maintain
2016-04-01,2016,4,April,TV,Traditional,52.0,106767629.7761289,0.7274603394426022,64.9,4.9,160.7,11.2,444.0,1134.0,690.0,155.4,Maintain
2016-05-01,2016,5,May,TV,Traditional,14.0,62045433.39925801,0.6080177361440766,64.9,4.9,160.7,11.2,444.0,1134.0,690.0,155.4,Maintain
2016-06-01,2016,6,June,TV,Traditional,17.0,44920445.0296661,0.5289709093490219,64.9,4.9,160.7,11.2,444.0,1134.0,690.0,155.4,Maintain
2015-07-01,2015,7,July,Digital,Digital,25.0,25000000.0,0.6410256410256411,75.4,4.2,190.9,13.6,298.0,1134.0,836.0,280.5,Increase
2015-08-01,2015,8,August,Digital,Digital,13.0,18000000.0,0.5625,75.4,4.2,190.9,13.6,298.0,1134.0,836.0,280.5,Increase
2015-09-01,2015,9,September,Digital,Digital,14.0,17600000.0,0.5569620253164557,75.4,4.2,190.9,13.6,298.0,1134.0,836.0,280.5,Increase
2015-10-01,2015,10,October,Digital,Digital,126.0,129520000.0,0.9024526198439242,75.4,4.2,190.9,13.6,298.0,1134.0,836.0,280.5,Increase
2015-11-01,2015,11,November,Digital,Digital,13.0,38904000.0,0.7353697262966883,75.4,4.2,190.9,13.6,298.0,1134.0,836.0,280.5,Increase
